nick,https://cdn.discordapp.com/attachments/693558209226735667/777986930695995452/image0.jpg
morgq,https://cdn.discordapp.com/attachments/713343824641916971/777559744273317888/Morg_Q.gif
loss,https://cdn.discordapp.com/attachments/225679391143886848/777505265523884040/unknown.png
nicksin,https://cdn.discordapp.com/attachments/713344029290528829/717053087616860233/unknown.png
rengar,https://cdn.discordapp.com/attachments/713343824641916971/779432176298098688/unknown.png
ivern,https://cdn.discordapp.com/attachments/713343824641916971/780103120972677160/images.png
nope,https://cdn.discordapp.com/attachments/713343824641916971/780149324252184596/ezgif.com-gif-maker.gif
ok,https://cdn.discordapp.com/attachments/713343824641916971/782704839381483571/7a102c939fd239aa.png
pepega,https://cdn.discordapp.com/attachments/713343824641916971/784200627478986782/pepega.png
win,https://cdn.discordapp.com/attachments/713343824641916971/784821300656603136/unknown.png
ambulance,https://tenor.com/view/call-an-ambulance-call-an-ambulance-but-not-for-me-call-an-ambulance-for-you-gif-18742399
dab,https://cdn.discordapp.com/attachments/784087009974681650/785580617185755156/16f2935c13a384d4.png
20,https://cdn.discordapp.com/attachments/713343824641916971/787011378119442442/unknown.png
draven,https://cdn.discordapp.com/attachments/713343824641916971/788485004384665610/Draven_is_a_champ.webm
baguette,https://cdn.discordapp.com/attachments/713343824641916971/788486331452883024/baguette.gif
